objective,max_depth,colsample_bytree,fold_0_train_mse,fold_0_val_mse,fold_1_train_mse,fold_1_val_mse,fold_2_train_mse,fold_2_val_mse,fold_3_train_mse,fold_3_val_mse,fold_4_train_mse,fold_4_val_mse,train_mse_mean,train_mse_std,val_mse_mean,val_mse_std
reg:squarederror,8,0.8,4.6497304904707845e-05,0.24027138917581234,4.83775091500363e-05,0.2375605979639873,4.753915674670303e-05,0.24070928522042664,4.578441479020287e-05,0.2480924229425971,4.7862670739847693e-05,0.2278209288781605,4.7212211266299554e-05,9.420832144481219e-07,0.23889092483619678,0.006545139628454655
reg:squarederror,8,0.9,4.417858823427081e-05,0.23870850215430903,4.162319321701356e-05,0.2395162246095702,4.3383671102675216e-05,0.23717169675047492,4.248249536969162e-05,0.24844138044239197,4.3304633928773886e-05,0.228692672690875,4.2994516370485015e-05,8.708999001785008e-07,0.23850609532952421,0.0062905501096743345
reg:squarederror,8,1.0,4.2361717199808416e-05,0.24082186385065837,4.122312278869398e-05,0.2399524560138069,4.127871844446111e-05,0.23870011495668328,4.087406959688603e-05,0.2463172956344275,3.889985830383241e-05,0.2305273910797783,4.092749726673639e-05,1.1297709379452226e-06,0.23926382430707088,0.0050851979780418164
reg:squarederror,10,0.8,3.7804969578890152e-06,0.23832248800633346,4.080094979106101e-06,0.23558496668802084,4.243690129243503e-06,0.24033918277688635,4.052972711593085e-06,0.24757927629832135,3.896012059592213e-06,0.2270710705617605,4.010653367484783e-06,1.5939498046967928e-07,0.23777939686626448,0.00666886594299824
reg:squarederror,10,0.9,3.949410048411168e-06,0.24385336184748402,4.214911719169303e-06,0.23811262240212422,3.935934865128633e-06,0.2404145055265347,3.536769461567459e-06,0.24789376422731635,3.8797008843631126e-06,0.22881072284493395,3.903345395727935e-06,2.1688456748635858e-07,0.23981699536967865,0.006417575710685205
reg:squarederror,10,1.0,4.180137859230586e-06,0.24002897706909815,3.538419128460881e-06,0.23926504179904176,3.7970337946814187e-06,0.2414551985601054,3.751033777066915e-06,0.24922755440643699,4.306870009657818e-06,0.23251239717582403,3.9146989138195244e-06,2.851223724198178e-07,0.24049783380210124,0.0053409993443327
reg:squarederror,12,0.8,3.103913647721588e-06,0.24208605864926397,3.050158422439937e-06,0.23956906768975372,3.4750388007582337e-06,0.24332778178891656,3.3383890883304393e-06,0.24723586274957068,3.35004987752667e-06,0.23015517664166998,3.2635099673553735e-06,1.6051813176690205e-07,0.24047478950383497,0.005722981850424016
reg:squarederror,12,0.9,3.2088111902951273e-06,0.23940486761633978,3.060964456793628e-06,0.24264468354681779,3.3949773433535454e-06,0.24458780560284418,3.265784368639939e-06,0.24812414555461051,3.1448505190211846e-06,0.22848838776160782,3.2150775756206854e-06,1.1283356393105284e-07,0.240649978016444,0.006705267989822244
reg:squarederror,12,1.0,3.4277955078464882e-06,0.23803505375589398,3.2324857973021443e-06,0.24231367006016774,3.561656543780799e-06,0.2412316377793799,3.376924548023834e-06,0.25104494499527397,3.92096521371864e-06,0.22877270309536094,3.5039655221343817e-06,2.336063004007109e-07,0.24027960193721531,0.00718864568644486
reg:linear,8,0.8,4.6497304904707845e-05,0.24027138917581234,4.83775091500363e-05,0.2375605979639873,4.753915674670303e-05,0.24070928522042664,4.578441479020287e-05,0.2480924229425971,4.7862670739847693e-05,0.2278209288781605,4.7212211266299554e-05,9.420832144481219e-07,0.23889092483619678,0.006545139628454655
