objective,max_depth,colsample_bytree,fold_0_train_mse,fold_0_val_mse,fold_1_train_mse,fold_1_val_mse,fold_2_train_mse,fold_2_val_mse,fold_3_train_mse,fold_3_val_mse,fold_4_train_mse,fold_4_val_mse,train_mse_mean,train_mse_std,val_mse_mean,val_mse_std
reg:squarederror,8,0.8,2.4888129727830176e-05,0.24051315674329987,2.7000391794897455e-05,0.2386496201860546,2.5989066624049645e-05,0.24298188773101748,2.5972828309930626e-05,0.24984093278635605,2.615548309993811e-05,0.23017548309573102,2.6001179911329203e-05,6.726165502419174e-07,0.2404322161084918,0.006378237164156619
reg:squarederror,8,0.9,2.3231058584451348e-05,0.24006112229098375,2.2847333914557503e-05,0.23315170966876395,2.2268225058348047e-05,0.24286677548703794,2.396178327643575e-05,0.24723825660735493,2.651416453181756e-05,0.23366804509584085,2.376451307312204e-05,1.48082192048647e-06,0.2393971818299963,0.005399820015152861
reg:squarederror,8,1.0,1.958947316705796e-05,0.2401996505245409,2.1031017612694146e-05,0.23741597545705206,2.258506330406188e-05,0.24517475202305006,2.1957713907505625e-05,0.24831502807120706,2.2876149512377077e-05,0.23354190077031955,2.160788350073934e-05,1.1910092263032383e-06,0.24092946136923393,0.00529192492334192
reg:squarederror,10,0.8,3.394969779053628e-06,0.2411220668786693,3.22510448048037e-06,0.23639810859582705,2.9836468388814157e-06,0.2448174765926963,3.3440142984036443e-06,0.25021022874036825,3.4623831347174578e-06,0.23264862569930478,3.282023706307304e-06,1.6816523157735893e-07,0.24103930130137313,0.006169788903248194
reg:squarederror,10,0.9,3.4179942108543277e-06,0.24028540269247212,3.2596640384736482e-06,0.2393107778993385,3.23572789949551e-06,0.24606864994977742,3.050114901258892e-06,0.2517150775577553,3.428257943060914e-06,0.23543049154456555,3.278351798628658e-06,1.3872992893290846e-07,0.24256207992878176,0.005704159463321843
reg:squarederror,10,1.0,3.2488617195066503e-06,0.24329682990657187,3.3491059527573544e-06,0.23755134660539554,3.36872073629995e-06,0.2435087490306485,3.573894579222778e-06,0.24761163109624762,3.1463357429548663e-06,0.2340810287683438,3.33738374614832e-06,1.4240244377543293e-07,0.24120991708144146,0.0047922429468166515
reg:squarederror,12,0.8,2.5619540878007864e-06,0.24500817518398038,2.429567168355022e-06,0.24155484176493955,2.644824977980533e-06,0.2459609117360132,2.887634680173246e-06,0.25215077222138865,2.8612544510806656e-06,0.23374444389125293,2.6770470730780506e-06,1.7539125422147138e-07,0.24368382895951496,0.00603244708394405
reg:squarederror,12,0.9,2.5819574684293922e-06,0.24506168318201715,2.6433886175402563e-06,0.24090884671783994,2.1492680648750055e-06,0.24515525944556266,3.1899258099665206e-06,0.2509919588808437,2.5915099480118857e-06,0.23818000374316897,2.631209981764612e-06,3.3123454223789296e-07,0.2440595503938865,0.004353369691474059
reg:squarederror,12,1.0,2.505131148680717e-06,0.24474869719649725,2.6922890662768828e-06,0.242152450062626,3.0209210744253344e-06,0.244669499214188,2.6547529109380217e-06,0.2499778644627884,3.320687981848603e-06,0.2370001055356439,2.838756436433912e-06,2.93958429150917e-07,0.24370972329434873,0.00421270223679065
reg:linear,8,0.8,2.4888129727830176e-05,0.24051315674329987,2.7000391794897455e-05,0.2386496201860546,2.5989066624049645e-05,0.24298188773101748,2.5972828309930626e-05,0.24984093278635605,2.615548309993811e-05,0.23017548309573102,2.6001179911329203e-05,6.726165502419174e-07,0.2404322161084918,0.006378237164156619
reg:linear,8,0.9,2.3231058584451348e-05,0.24006112229098375,2.2847333914557503e-05,0.23315170966876395,2.2268225058348047e-05,0.24286677548703794,2.396178327643575e-05,0.24723825660735493,2.651416453181756e-05,0.23366804509584085,2.376451307312204e-05,1.48082192048647e-06,0.2393971818299963,0.005399820015152861
reg:linear,8,1.0,1.958947316705796e-05,0.2401996505245409,2.1031017612694146e-05,0.23741597545705206,2.258506330406188e-05,0.24517475202305006,2.1957713907505625e-05,0.24831502807120706,2.2876149512377077e-05,0.23354190077031955,2.160788350073934e-05,1.1910092263032383e-06,0.24092946136923393,0.00529192492334192
reg:linear,10,0.8,3.394969779053628e-06,0.2411220668786693,3.22510448048037e-06,0.23639810859582705,2.9836468388814157e-06,0.2448174765926963,3.3440142984036443e-06,0.25021022874036825,3.4623831347174578e-06,0.23264862569930478,3.282023706307304e-06,1.6816523157735893e-07,0.24103930130137313,0.006169788903248194
reg:linear,10,0.9,3.4179942108543277e-06,0.24028540269247212,3.2596640384736482e-06,0.2393107778993385,3.23572789949551e-06,0.24606864994977742,3.050114901258892e-06,0.2517150775577553,3.428257943060914e-06,0.23543049154456555,3.278351798628658e-06,1.3872992893290846e-07,0.24256207992878176,0.005704159463321843
