objective,max_depth,colsample_bytree,fold_0_train_mse,fold_0_val_mse,fold_1_train_mse,fold_1_val_mse,fold_2_train_mse,fold_2_val_mse,fold_3_train_mse,fold_3_val_mse,fold_4_train_mse,fold_4_val_mse,train_mse_mean,train_mse_std,val_mse_mean,val_mse_std
reg:squarederror,8,0.8,3.188424834248244e-05,0.22108184901638794,3.695733302141915e-05,0.21672875901945393,3.5025598138657525e-05,0.22000092670937071,3.396685379168391e-05,0.22458324361288207,3.353755733237042e-05,0.21684055987708295,3.427431812532269e-05,1.6800461267744721e-06,0.21984706764703552,0.0029237872045776497
reg:squarederror,8,0.9,3.144234614377228e-05,0.2237572927320829,2.9842145995982475e-05,0.2186541127365987,3.134319960295063e-05,0.22036263282990545,3.132376707054593e-05,0.2224923700646425,2.9943268800356032e-05,0.21491918325222076,3.077894552272147e-05,7.254326305924676e-07,0.2200371183230901,0.0031009637948150575
reg:squarederror,8,1.0,2.7860298282731205e-05,0.21601205913571242,2.838993013394203e-05,0.2173696658474618,2.864452944384468e-05,0.21984830509698763,2.7495225570447263e-05,0.22197103074095975,2.811892258897692e-05,0.2145370073897956,2.8101781203988418e-05,4.0102943099459343e-07,0.21794761364218346,0.002665075723759543
reg:squarederror,10,0.8,3.341195314603187e-06,0.21979202680799373,3.842732796119111e-06,0.2198114384163602,3.929038977956309e-06,0.22099020007654652,3.6994559407028215e-06,0.2280851125154115,3.58665102261576e-06,0.21705470854726902,3.6798148103994375e-06,2.060987064745797e-07,0.22114669727271616,0.003702121485395389
reg:squarederror,10,0.9,3.589013663715084e-06,0.22078242765499714,3.6968691510119247e-06,0.22020282022792578,3.719891317472675e-06,0.22511857740878385,4.075543599476179e-06,0.22334987350541372,4.026354768103374e-06,0.21876247207013033,3.8215344999558475e-06,1.9308583062559286e-07,0.22164323417345014,0.0022849594703355535
reg:squarederror,10,1.0,3.879581844607971e-06,0.2194983000772298,3.5765022427797254e-06,0.21853945955695747,4.33487322277547e-06,0.22313125496685013,3.867988622038797e-06,0.22220155466456165,3.7540568031479905e-06,0.217072086671804,3.8826005470699915e-06,2.509951633391869e-07,0.22008853118748065,0.002261414133164971
reg:squarederror,12,0.8,2.900226524768294e-06,0.2241686830085743,3.1295106889651115e-06,0.2218989030321477,3.2762628355387073e-06,0.2274409358393089,3.047275322760957e-06,0.23239978279454487,3.1536654324313638e-06,0.21813511756411585,3.101388160892887e-06,1.244983089332364e-07,0.22480868444773833,0.0048572923769965816
reg:squarederror,12,0.9,3.2886171106374475e-06,0.22452875586926196,2.8156862997104374e-06,0.2216322812770692,3.073511967370572e-06,0.22463962852815228,2.93271184620198e-06,0.22866947833423631,3.4396723426963806e-06,0.21494836351595945,3.1100399133233634e-06,2.2802234011887265e-07,0.2228837015049358,0.004556321733085279
reg:squarederror,12,1.0,3.544261251422125e-06,0.2251565779319341,3.348506513232749e-06,0.21983077854170482,2.510720618264633e-06,0.22445574609405303,3.273696439230793e-06,0.22936571345236867,2.764385398490953e-06,0.22054999888361942,3.088314044128251e-06,3.8691046568864436e-07,0.22387176298073602,0.003450766566245804
reg:linear,8,0.8,3.188424834248244e-05,0.22108184901638794,3.695733302141915e-05,0.21672875901945393,3.5025598138657525e-05,0.22000092670937071,3.396685379168391e-05,0.22458324361288207,3.353755733237042e-05,0.21684055987708295,3.427431812532269e-05,1.6800461267744721e-06,0.21984706764703552,0.0029237872045776497
reg:linear,8,0.9,3.144234614377228e-05,0.2237572927320829,2.9842145995982475e-05,0.2186541127365987,3.134319960295063e-05,0.22036263282990545,3.132376707054593e-05,0.2224923700646425,2.9943268800356032e-05,0.21491918325222076,3.077894552272147e-05,7.254326305924676e-07,0.2200371183230901,0.0031009637948150575
reg:linear,8,1.0,2.7860298282731205e-05,0.21601205913571242,2.838993013394203e-05,0.2173696658474618,2.864452944384468e-05,0.21984830509698763,2.7495225570447263e-05,0.22197103074095975,2.811892258897692e-05,0.2145370073897956,2.8101781203988418e-05,4.0102943099459343e-07,0.21794761364218346,0.002665075723759543
reg:linear,10,0.8,3.341195314603187e-06,0.21979202680799373,3.842732796119111e-06,0.2198114384163602,3.929038977956309e-06,0.22099020007654652,3.6994559407028215e-06,0.2280851125154115,3.58665102261576e-06,0.21705470854726902,3.6798148103994375e-06,2.060987064745797e-07,0.22114669727271616,0.003702121485395389
reg:linear,10,0.9,3.589013663715084e-06,0.22078242765499714,3.6968691510119247e-06,0.22020282022792578,3.719891317472675e-06,0.22511857740878385,4.075543599476179e-06,0.22334987350541372,4.026354768103374e-06,0.21876247207013033,3.8215344999558475e-06,1.9308583062559286e-07,0.22164323417345014,0.0022849594703355535
reg:linear,10,1.0,3.879581844607971e-06,0.2194983000772298,3.5765022427797254e-06,0.21853945955695747,4.33487322277547e-06,0.22313125496685013,3.867988622038797e-06,0.22220155466456165,3.7540568031479905e-06,0.217072086671804,3.8826005470699915e-06,2.509951633391869e-07,0.22008853118748065,0.002261414133164971
reg:linear,12,0.8,2.900226524768294e-06,0.2241686830085743,3.1295106889651115e-06,0.2218989030321477,3.2762628355387073e-06,0.2274409358393089,3.047275322760957e-06,0.23239978279454487,3.1536654324313638e-06,0.21813511756411585,3.101388160892887e-06,1.244983089332364e-07,0.22480868444773833,0.0048572923769965816
reg:linear,12,0.9,3.2886171106374475e-06,0.22452875586926196,2.8156862997104374e-06,0.2216322812770692,3.073511967370572e-06,0.22463962852815228,2.93271184620198e-06,0.22866947833423631,3.4396723426963806e-06,0.21494836351595945,3.1100399133233634e-06,2.2802234011887265e-07,0.2228837015049358,0.004556321733085279
reg:linear,12,1.0,3.544261251422125e-06,0.2251565779319341,3.348506513232749e-06,0.21983077854170482,2.510720618264633e-06,0.22445574609405303,3.273696439230793e-06,0.22936571345236867,2.764385398490953e-06,0.22054999888361942,3.088314044128251e-06,3.8691046568864436e-07,0.22387176298073602,0.003450766566245804
