objective,max_depth,colsample_bytree,fold_0_train_mse,fold_0_val_mse,fold_1_train_mse,fold_1_val_mse,fold_2_train_mse,fold_2_val_mse,fold_3_train_mse,fold_3_val_mse,fold_4_train_mse,fold_4_val_mse,train_mse_mean,train_mse_std,val_mse_mean,val_mse_std
reg:squarederror,8,0.8,1.196893127430765e-05,0.22647440379226638,1.3512426095549485e-05,0.22212651357110505,1.3119075027560976e-05,0.22722886723712704,1.3566235153979827e-05,0.23363442564040032,1.397642208962882e-05,0.21477745800137632,1.3228617928205352e-05,6.859378461526546e-07,0.22484833364845502,0.006234377235982821
reg:squarederror,8,0.9,1.0942440894784028e-05,0.22378930009765477,1.0410078199797839e-05,0.2246841716256241,1.1029109428012737e-05,0.2292340720893701,1.139897998066203e-05,0.23214642970462834,1.1851144766480198e-05,0.21405708570410878,1.1126350653947368e-05,4.80828064791838e-07,0.2247822118442772,0.006165623742657863
reg:squarederror,8,1.0,9.107553218167398e-06,0.22061934794888885,9.442499382698856e-06,0.22869933796703987,8.764944950782117e-06,0.23073768643096182,1.1070986504154955e-05,0.23515667308130114,1.0502377283101916e-05,0.21456819335704352,9.77767226778105e-06,8.700432282805168e-07,0.22595624775704706,0.007391952494699909
reg:squarederror,10,0.8,3.237691188518624e-06,0.23055688434146057,3.724589843755124e-06,0.22772000804639375,3.1286331153096184e-06,0.23597157088524498,3.50449284485186e-06,0.23558712889955424,2.9872969209856923e-06,0.21948768295093837,3.3165407826841844e-06,2.6523879216220133e-07,0.2298646550247184,0.006046509242270862
reg:squarederror,10,0.9,2.9913249783506524e-06,0.2256686453583049,3.1377137864745357e-06,0.22993787384988673,3.1026783264100282e-06,0.2349494388714913,3.5955389376913536e-06,0.23710770003608608,2.8500207866002178e-06,0.21746734683009794,3.1354553631053576e-06,2.509991217070996e-07,0.2290262009891734,0.007015793761875996
reg:squarederror,10,1.0,3.08388578499453e-06,0.22553289788289552,3.3237299093253365e-06,0.22924848998524672,2.982168314486081e-06,0.23488805096452595,3.4899833682834213e-06,0.23539044708227344,3.548202329200243e-06,0.22224160950625202,3.2855939412579223e-06,2.2133497086677325e-07,0.2294602990842387,0.005142100120896488
reg:squarederror,12,0.8,3.0990901903913863e-06,0.23395473693101732,2.2260564058231207e-06,0.2297939626731334,2.369167130493278e-06,0.23528018536987777,3.2584192880450406e-06,0.23576926612429705,2.500493259110166e-06,0.22183325380371982,2.690645254772598e-06,4.1098500768369847e-07,0.23132628098040908,0.005191296985654546
reg:squarederror,12,0.9,2.1754931655534723e-06,0.23114777173015785,2.6637911052488558e-06,0.23493050213952224,2.3718905888684915e-06,0.2362208871374997,3.076574705506418e-06,0.24143762109101577,2.7800345080820227e-06,0.22397114835033113,2.613556814651852e-06,3.146191980661026e-07,0.23354158608970535,0.005809969644521116
reg:squarederror,12,1.0,2.4815413595878723e-06,0.23003405598128282,2.9261951357577403e-06,0.23177397668132171,2.5134992454210705e-06,0.23422105992414713,3.242722274816764e-06,0.24112749630163818,2.4500433849720987e-06,0.22459296648744947,2.722800280111109e-06,3.124411821711255e-07,0.23234991107516784,0.005411326547193549
reg:linear,8,0.8,1.196893127430765e-05,0.22647440379226638,1.3512426095549485e-05,0.22212651357110505,1.3119075027560976e-05,0.22722886723712704,1.3566235153979827e-05,0.23363442564040032,1.397642208962882e-05,0.21477745800137632,1.3228617928205352e-05,6.859378461526546e-07,0.22484833364845502,0.006234377235982821
reg:linear,8,0.9,1.0942440894784028e-05,0.22378930009765477,1.0410078199797839e-05,0.2246841716256241,1.1029109428012737e-05,0.2292340720893701,1.139897998066203e-05,0.23214642970462834,1.1851144766480198e-05,0.21405708570410878,1.1126350653947368e-05,4.80828064791838e-07,0.2247822118442772,0.006165623742657863
