objective,max_depth,colsample_bytree,fold_0_train_mse,fold_0_val_mse,fold_1_train_mse,fold_1_val_mse,fold_2_train_mse,fold_2_val_mse,fold_3_train_mse,fold_3_val_mse,fold_4_train_mse,fold_4_val_mse,train_mse_mean,train_mse_std,val_mse_mean,val_mse_std
reg:squarederror,8,0.8,0.00011936545824672959,0.20019974532279528,0.00013417636639532953,0.19758810364809107,0.00012853507492237374,0.20478848247657805,0.00012560062169082514,0.2070774809573412,0.00013556218854217424,0.19603563338324678,0.00012864794195948645,5.896332524790197e-06,0.20113788915761047,0.004198087358151146
reg:squarederror,8,0.9,0.00011609912441837873,0.2034713288581443,0.00011438293324686929,0.19924614105247024,0.000117000595815941,0.20626547400834613,0.0001202791924767195,0.2086217014141357,0.00011623040407715783,0.19783381771031172,0.00011679845000701326,1.9392207065914166e-06,0.20308769260868162,0.00407998638874078
reg:squarederror,8,1.0,0.00010636291110768091,0.20005590325354172,0.00011104396147792195,0.1993869256291336,0.00010481644425889095,0.20515979255162162,0.00010916585990755613,0.20973573094108866,0.0001075124631229364,0.19585327050880277,0.00010778032797499726,2.165014143827953e-06,0.2020383245768377,0.004862271723412282
reg:squarederror,10,0.8,4.340066595399984e-06,0.20053105774057017,4.824646810130664e-06,0.2021477417238414,4.318504310143565e-06,0.20601126076277881,4.381770155822798e-06,0.2105408454459205,4.3307214995914205e-06,0.19662933224601017,4.439141874217686e-06,1.939226031474899e-07,0.2031720475838242,0.004757971568780493
reg:squarederror,10,0.9,4.85726265418177e-06,0.20401814851124814,4.076558971992138e-06,0.198809057166395,4.313352311683856e-06,0.2079449938571102,4.291615575719237e-06,0.21069095690049175,4.3235840826692255e-06,0.20062585905260935,4.372474719249245e-06,2.5884722360682505e-07,0.2044178030975709,0.004422445650050439
reg:squarederror,10,1.0,4.533075572429828e-06,0.20261680156090497,4.863298379645806e-06,0.1993957688146168,4.3225834288914365e-06,0.20478279962621113,4.464461274168659e-06,0.21062789334020296,3.928355284940614e-06,0.19609909063022532,4.422354788015269e-06,3.041227161581393e-07,0.20270447079443224,0.00493328120770084
reg:squarederror,12,0.8,3.449410809973996e-06,0.20699740563063923,3.633740532982657e-06,0.20237578191405284,4.040275288618996e-06,0.20742136250149104,3.7105262068638905e-06,0.2100625237646863,4.035138479251647e-06,0.19630803748263176,3.7738182635382374e-06,2.3158387349688086e-07,0.20463302225870023,0.004842419687260676
reg:squarederror,12,0.9,3.261988757071781e-06,0.20323693789367886,3.2791481980052078e-06,0.20244324733474076,2.992157287366149e-06,0.20759602530987453,3.6330857853718364e-06,0.21467572360561823,3.3524020388301336e-06,0.19946302407598304,3.3037564133290213e-06,2.0506991434239274e-07,0.2054829916439791,0.005281970174589369
reg:squarederror,12,1.0,3.7050553231899973e-06,0.2064241103650675,3.7481003290871736e-06,0.20137295974770447,3.1119180329995353e-06,0.21172995802106084,3.628636349864134e-06,0.21337891511190535,3.44118570713938e-06,0.2005628097678022,3.526979148456044e-06,2.3262679607760763e-07,0.2066937506027081,0.005215875120768586
reg:linear,8,0.8,0.00011936545824672959,0.20019974532279528,0.00013417636639532953,0.19758810364809107,0.00012853507492237374,0.20478848247657805,0.00012560062169082514,0.2070774809573412,0.00013556218854217424,0.19603563338324678,0.00012864794195948645,5.896332524790197e-06,0.20113788915761047,0.004198087358151146
