n_estimators,learning_rate,fold_0_train_mse,fold_0_val_mse,fold_1_train_mse,fold_1_val_mse,fold_2_train_mse,fold_2_val_mse,fold_3_train_mse,fold_3_val_mse,fold_4_train_mse,fold_4_val_mse,train_mse_mean,train_mse_std,val_mse_mean,val_mse_std
1750,0.01,0.500806452859679,0.508093778407022,0.5041910323439199,0.5110854915542435,0.49699568754226325,0.5285513634167365,0.4997638432919046,0.5229587853277379,0.5038515470038805,0.5060947762692204,0.5011217126083294,0.002677312088712573,0.5153568389949921,0.008816658400575578
1750,0.05,0.3527197365155694,0.38807782322795653,0.3534795610073053,0.3847226072467518,0.35037651025776473,0.3994978457270506,0.3508607495505368,0.3964538813153069,0.3554961999219435,0.3738060725201657,0.352586551450624,0.0018516982923240954,0.3885116460074463,0.009105762949784293
1750,0.1,0.2914033899452653,0.34969918167064473,0.2919289374260039,0.3448264893524434,0.28906844789912206,0.35894196857056954,0.2902832441497283,0.35653407252653524,0.29606108003747805,0.3368328185658275,0.2917490198915195,0.002369795679503863,0.34936690613720406,0.00801098292984827
1750,0.2,0.22615587499843343,0.3278224846684488,0.22621304647902798,0.32065252274759215,0.22455838390598004,0.3370554791621401,0.2254463275542593,0.33523868659613953,0.22808656477485956,0.3127376700057788,0.22609203954251206,0.0011632619764978351,0.32670136863601984,0.009087614867671394
2000,0.01,0.4888297157131717,0.4979737553454797,0.4922754613006551,0.5007568250906185,0.4855907332033246,0.5179771684588113,0.48828462019013297,0.5127880374101492,0.49199038995668765,0.494986422039377,0.4893941840727944,0.002492309712316793,0.5048964416688871,0.008906752462045746
2000,0.05,0.34156902769242387,0.3798601619609984,0.34212942911635313,0.3764967206733869,0.33838654302698773,0.38960025240764334,0.3395504080922542,0.38834972253312183,0.34389133547709916,0.36485929346258106,0.3411053486810236,0.001940886694815812,0.37983323020754634,0.008980837010233247
2000,0.1,0.27905728998395996,0.34369758074542683,0.27951918915502916,0.3380743339318831,0.2770811988381254,0.3532587113075574,0.27817911825213504,0.351061776707232,0.2839046849098161,0.3309093620731626,0.2795482962278132,0.0023315777731466856,0.3434003529530524,0.008250628091519495
2000,0.2,0.21314898200743887,0.32438403885319156,0.21371393909909184,0.3180635747176882,0.21196786656622954,0.3338832740474537,0.21225211862214075,0.33156706190370056,0.21466405150796067,0.3088689495673437,0.21314939156057236,0.0009812246313156867,0.32335337981787554,0.009134399395917344
2250,0.01,0.4782281854794177,0.4889332805706422,0.4813489615183325,0.49129756774508343,0.4750974782659098,0.5081591331987062,0.47854556400620535,0.5040666147878972,0.4815684006948654,0.4851169437814294,0.4789577179929461,0.002372224656944346,0.4955147080167516,0.008969164487253937
2250,0.05,0.3318072245969499,0.37303219196377074,0.3318711812249509,0.36923050728240997,0.32896086191771085,0.38284636476601225,0.33010998622222687,0.38180855465381297,0.3338328485237758,0.35770865954006964,0.3313164204971229,0.001666445200032523,0.37292525564121515,0.009192919072098108
2250,0.1,0.2684744686651058,0.33950230288563665,0.26859529258198284,0.3333380888412064,0.26683424509249226,0.34895322547518337,0.26729149602900487,0.3467214973270062,0.2727965958178229,0.32586327431809037,0.2687984196372818,0.0021099961140815366,0.3388756777694247,0.008526359669242919
2250,0.2,0.20182348024150717,0.3214268996683446,0.20207207537446129,0.31523182343545786,0.2005960321850469,0.3321856596161107,0.20112736852373903,0.3289808009017622,0.2028226456372072,0.3061522154932814,0.20168832039239232,0.0007694141094301987,0.32079547982299134,0.009407590876856385
