objective,max_depth,colsample_bytree,fold_0_train_mse,fold_0_val_mse,fold_1_train_mse,fold_1_val_mse,fold_2_train_mse,fold_2_val_mse,fold_3_train_mse,fold_3_val_mse,fold_4_train_mse,fold_4_val_mse,train_mse_mean,train_mse_std,val_mse_mean,val_mse_std
reg:squarederror,8,0.8,4.811013057061493e-05,0.283597948005535,4.843021464382658e-05,0.2777220589416158,4.91691330013945e-05,0.2898692322544321,5.211991051325244e-05,0.29123114808060246,5.353017440425277e-05,0.27144749880746394,5.027191262666824e-05,2.159288865338955e-06,0.2827735772179299,0.007434464359260627
reg:squarederror,8,0.9,4.284959079955443e-05,0.28461618221967694,4.697512096387626e-05,0.2769314357630983,4.4299836286540916e-05,0.28653945099354006,4.871342844647905e-05,0.2941298709171212,4.475383026292548e-05,0.26857367993687803,4.5518361351875234e-05,2.0747168331090807e-06,0.2821581239660629,0.008722570620099337
reg:squarederror,8,1.0,4.0995411321216795e-05,0.2842366100649237,4.040944805832058e-05,0.2757223106897992,3.928920268630401e-05,0.28915845501526327,4.1849659516789805e-05,0.29033535640765046,3.949269664073765e-05,0.2711654715531505,4.040728364467377e-05,9.500443592067389e-07,0.2821236407461575,0.007515903456020091
reg:squarederror,10,0.8,3.0859325478743646e-06,0.2841498929968393,2.7304899218625965e-06,0.27952332754882864,2.6428381295357764e-06,0.28804751755099794,2.862723354988729e-06,0.29180309347845823,2.7644680088402647e-06,0.26981550047097386,2.817290392620346e-06,1.5165149501168536e-07,0.2826678664092196,0.007611318646270003
reg:squarederror,10,0.9,3.0587813156407448e-06,0.28479818428228837,3.0073612848987836e-06,0.27700751904998305,2.8460142365012422e-06,0.28762505008494366,2.5976718740028456e-06,0.29190807261822277,3.0535610002394688e-06,0.270523736641739,2.912677942256617e-06,1.754035574419483e-07,0.2823725125354354,0.007662592061475146
reg:squarederror,10,1.0,3.0963519068614083e-06,0.28244071368952417,2.790937207933185e-06,0.273124312017987,2.948124082834447e-06,0.2898310846821908,2.8793248183749164e-06,0.292009332191024,2.955724699554898e-06,0.27780011277096567,2.934092543111771e-06,1.0048471434676148e-07,0.2830411110703383,0.007109207766731784
reg:squarederror,12,0.8,2.2768662047353203e-06,0.2871979567132253,2.618833723071303e-06,0.2777784727350661,2.221108498910991e-06,0.29052644862616483,2.772934659920282e-06,0.29772380282830796,2.4677339961712465e-06,0.2742959328028283,2.4714954165618288e-06,2.0647638165748964e-07,0.2855045227411185,0.008517307099814242
reg:squarederror,12,0.9,2.2990592504895193e-06,0.28591630063760864,2.2853431692523105e-06,0.276708132794197,2.1765319101773053e-06,0.2893736971233223,2.2827457902729247e-06,0.29457138364460855,2.5237637941593765e-06,0.2770376424765245,2.313488782870287e-06,1.1394585022278768e-07,0.2847214313352522,0.006976337360574545
reg:squarederror,12,1.0,2.6095597896294184e-06,0.28314118556821777,2.0784675968346276e-06,0.2792080504032983,2.634733457171616e-06,0.2947207329838286,2.5045978536176012e-06,0.2996330081464922,2.070363618693166e-06,0.2777011741517764,2.379544463189286e-06,2.5294540816625464e-07,0.2868808302507227,0.008731605751329639
reg:linear,8,0.8,4.811013057061493e-05,0.283597948005535,4.843021464382658e-05,0.2777220589416158,4.91691330013945e-05,0.2898692322544321,5.211991051325244e-05,0.29123114808060246,5.353017440425277e-05,0.27144749880746394,5.027191262666824e-05,2.159288865338955e-06,0.2827735772179299,0.007434464359260627
