objective,max_depth,colsample_bytree,fold_0_train_mse,fold_0_val_mse,fold_1_train_mse,fold_1_val_mse,fold_2_train_mse,fold_2_val_mse,fold_3_train_mse,fold_3_val_mse,fold_4_train_mse,fold_4_val_mse,train_mse_mean,train_mse_std,val_mse_mean,val_mse_std
reg:squarederror,8,0.8,4.822634843320065e-05,0.20272881821567856,5.084904893940409e-05,0.19826417362175272,4.979219847361981e-05,0.20492625240187579,5.079561397496172e-05,0.21113459971186013,4.9844879150964775e-05,0.19792089170291205,4.990161779443021e-05,9.506391785924732e-07,0.20299494713081584,0.004861706804592198
reg:squarederror,8,0.9,4.555763277996988e-05,0.20125708111026525,4.503576719529251e-05,0.19829287110796373,4.393752877216082e-05,0.20505552172436844,4.443123827553245e-05,0.20862275595733556,4.9731018754959685e-05,0.19728287177711612,4.573863715558306e-05,2.069743116452014e-06,0.20210222033540984,0.0042353487758076585
reg:squarederror,8,1.0,4.346534845842062e-05,0.20282224932691395,3.845011542345973e-05,0.20027062202177265,4.058904138772113e-05,0.20772009850402903,4.066358377718165e-05,0.20978655090163334,4.199836474559221e-05,0.1969721433652292,4.103329075847506e-05,1.6645184302577473e-06,0.20351433282391565,0.004708079583409304
reg:squarederror,10,0.8,3.6631858940617595e-06,0.20444453622035233,4.481768621775341e-06,0.20049960525684302,3.6078913912566633e-06,0.2072920377764071,3.7710682540857405e-06,0.2109101459804833,3.4247380319722e-06,0.20075072852922096,3.7897304386303407e-06,3.6374813865930586e-07,0.20477941075266134,0.003963795289517485
reg:squarederror,10,0.9,3.7116762591855827e-06,0.20483605895373413,3.6942818000959836e-06,0.2011262827815584,3.734422278453598e-06,0.20946835463312777,3.869161390581135e-06,0.21312067716725228,4.5029942546430755e-06,0.20152996708718432,3.902507196591875e-06,3.065039809817414e-07,0.20601626812457136,0.004643732904639403
reg:squarederror,10,1.0,3.332621132326694e-06,0.20500723751679015,3.7468405192958004e-06,0.20213147652862512,3.6059987799374497e-06,0.20996560143794188,3.9155299849612015e-06,0.20940401974057735,3.69400362169936e-06,0.20195820780661736,3.6589988076441013e-06,1.918755524454024e-07,0.20569330860611035,0.003438900476447475
reg:squarederror,12,0.8,2.896696336622313e-06,0.2097734818625054,2.756522350778024e-06,0.2059506516492801,3.3753436002665116e-06,0.20939063939936003,3.210365251073501e-06,0.2163519495510302,3.5186603193997763e-06,0.20428941321482053,3.1515175716280255e-06,2.8611536974366243e-07,0.20915122713539924,0.0041515259971531175
reg:squarederror,12,0.9,3.257901637235175e-06,0.20587483865249923,2.9355680933525365e-06,0.20460701700217657,3.2486382687405474e-06,0.21335370722452984,2.8648754600201156e-06,0.21690219327841403,3.18945739367314e-06,0.20343374598449915,3.099288170604303e-06,1.657394068877747e-07,0.2088343004284238,0.005316206547875854
reg:squarederror,12,1.0,2.9716071030299597e-06,0.20844805908658742,3.3886571382165177e-06,0.20322968466029856,3.2470607062476434e-06,0.21242792339071334,2.9275282231814306e-06,0.21494343166460048,3.061285716887066e-06,0.2050031103699943,3.119227777512523e-06,1.7368437070347592e-07,0.2088104418344388,0.004392531885818478
reg:linear,8,0.8,4.822634843320065e-05,0.20272881821567856,5.084904893940409e-05,0.19826417362175272,4.979219847361981e-05,0.20492625240187579,5.079561397496172e-05,0.21113459971186013,4.9844879150964775e-05,0.19792089170291205,4.990161779443021e-05,9.506391785924732e-07,0.20299494713081584,0.004861706804592198
