n_estimators,learning_rate,fold_0_train_mse,fold_0_val_mse,fold_1_train_mse,fold_1_val_mse,fold_2_train_mse,fold_2_val_mse,fold_3_train_mse,fold_3_val_mse,fold_4_train_mse,fold_4_val_mse,train_mse_mean,train_mse_std,val_mse_mean,val_mse_std
1750,0.01,0.4231377199941722,0.4306529867142157,0.42230659894186884,0.432472178821259,0.4211126449603324,0.44738640228283016,0.42000012642292756,0.439135695935819,0.42531440986053126,0.4247801836400173,0.4223743000359665,0.0018143931837369062,0.4348854894788282,0.007748450553995968
1750,0.05,0.28336414391851517,0.3182429296949463,0.2814149231315274,0.3158108835423104,0.28294694080890564,0.3279963290414486,0.28136062996882505,0.324653652146637,0.283967875907663,0.30577431356995777,0.2826109027470872,0.0010502589452840532,0.31849562159906,0.007710877145095941
1750,0.1,0.2229027003592292,0.27971392502787884,0.22295789037062358,0.27804524107106343,0.22357044974575782,0.2871481076272806,0.22166041066228653,0.2846338557952277,0.22398197135750397,0.2669829674756813,0.2230146844990802,0.000786681958802046,0.2793048193994264,0.006978506128738235
1750,0.2,0.16892835641104348,0.2553536754370975,0.1692461602916023,0.2516481270816064,0.16832923690775023,0.2572939000672452,0.1665257487555065,0.2597575265775857,0.16868758519596375,0.2441544053972138,0.16834341751237325,0.0009570444330638788,0.25364152691214975,0.005434258949787472
2000,0.01,0.411481946483003,0.4208694263445326,0.41134984930053714,0.42229643263118427,0.40991910320728403,0.43726424004479725,0.4088739547760819,0.428569300393121,0.41438073900822175,0.4146224614545725,0.4112011185550256,0.001858506173896028,0.42472437217364156,0.007679008493057251
2000,0.05,0.2714935379176536,0.30974199621586546,0.2701494675657483,0.30805155702167825,0.27150287406170204,0.3192081805216953,0.2697667148418194,0.3163115024191684,0.2722612204739208,0.29712474191729743,0.27103476297216883,0.0009301069254514985,0.310087595619141,0.007671017573091992
2000,0.1,0.21164441212444102,0.2733981302098157,0.21196973890007845,0.2718420117498253,0.2129393389326921,0.28076037074701937,0.2106475036844712,0.2785498932487046,0.21294113709301318,0.261042345277237,0.21202842614693918,0.0008626309969041705,0.27311855024652043,0.006862060176343356
2000,0.2,0.15834601854188907,0.251473034702594,0.15850299363254564,0.24664501872064623,0.15806188074121702,0.25273896025431086,0.15625458829593072,0.2550782323638608,0.1582374912781421,0.24000640902663883,0.15788059449794492,0.000825607219703958,0.24918833101361013,0.005353389686197492
2250,0.01,0.4012805716872044,0.41216740863849505,0.4016227998498605,0.4133870994226765,0.40048088642262164,0.4286581489344988,0.3990644717236273,0.4195738307492441,0.40512718075764387,0.40602825918345653,0.4015151820881916,0.0020094231423870208,0.41596294938567413,0.007667408399396296
2250,0.05,0.26174082784286734,0.30330351488531093,0.26018153670157323,0.30132511615923957,0.2613611229878998,0.312085577384579,0.2596359846828299,0.30911886982437026,0.26202720808095026,0.29014196174248824,0.26098933605922414,0.0009234980784937907,0.30319500799919763,0.007589791153085682
2250,0.1,0.20217837272022768,0.2685923833463653,0.20247882221533792,0.26667633839275584,0.2035682770560243,0.2752260713544822,0.2010711843268079,0.2731814369049052,0.20351847946669388,0.2567625667069884,0.20256302715701838,0.0009277996565543914,0.2680877593410994,0.006440617861731275
2250,0.2,0.1491690070191313,0.24807494941823682,0.14930774060353014,0.24252079017617992,0.1488271096640584,0.24906596013787752,0.1471893662882696,0.2510821449325207,0.14898189831259737,0.2365965892038149,0.14869502437751736,0.0007703025610027309,0.24546808677372595,0.005265892155541949
