objective,max_depth,colsample_bytree,fold_0_train_mse,fold_0_val_mse,fold_1_train_mse,fold_1_val_mse,fold_2_train_mse,fold_2_val_mse,fold_3_train_mse,fold_3_val_mse,fold_4_train_mse,fold_4_val_mse,train_mse_mean,train_mse_std,val_mse_mean,val_mse_std
reg:squarederror,8,0.8,4.298378020116074e-05,0.2035138472502827,4.340148256934506e-05,0.20203945949085833,4.708693350475554e-05,0.2038052572715297,4.3641685987397845e-05,0.21160009980894195,4.812701846786917e-05,0.19982798041210612,4.504818014610567e-05,2.125433910026032e-06,0.20415732884674376,0.003978982056554073
reg:squarederror,8,0.9,4.2037763460980664e-05,0.20106628968471119,4.334982516272142e-05,0.1989184260047433,4.157246074296616e-05,0.2051148824261517,4.307988876734692e-05,0.20828083626678826,4.2384710887354346e-05,0.19928487931792813,4.24849298042739e-05,6.549231262570567e-07,0.2025330627400645,0.0036185746053953175
reg:squarederror,8,1.0,3.97014353217428e-05,0.20384882767569865,3.7796487464152684e-05,0.20112012308679933,3.672592159472438e-05,0.20205696532168824,3.853885114892478e-05,0.2093743684396782,4.215384478589338e-05,0.20132354443318906,3.89833080630876e-05,1.8584880209695396e-06,0.20354476579141068,0.003069299186169884
reg:squarederror,10,0.8,3.641539732321925e-06,0.20665868234703408,3.747352967390684e-06,0.2034829842164792,3.2901878239385034e-06,0.2038416611853114,3.567521458461123e-06,0.2108162989980969,3.7790300437635053e-06,0.19887287762694036,3.605126405175148e-06,1.7458364349304499e-07,0.20473450087477238,0.003934789105089512
reg:squarederror,10,0.9,3.7349249325547107e-06,0.20639479173167227,3.6542860268293742e-06,0.2063590972424798,4.016258997239458e-06,0.20837554889873053,4.188355447078588e-06,0.21279178857073128,3.83860244428907e-06,0.20202845905180733,3.88648556959824e-06,1.9346659324246922e-07,0.20718993709908426,0.003485679902257671
reg:squarederror,10,1.0,3.789012389593348e-06,0.20318848677258836,3.913875544658056e-06,0.20082098482659352,3.9682017414957335e-06,0.2064634890675282,3.699367751695495e-06,0.2138718291564358,3.658549393915106e-06,0.2024058435252935,3.8058013642715477e-06,1.1945462512549457e-07,0.20535012666968785,0.0046414136901494945
reg:squarederror,12,0.8,2.8243553084254347e-06,0.20810518253640892,3.015488630635668e-06,0.20961052608941638,2.652437910253316e-06,0.20998145275245084,3.0704588717033495e-06,0.2105137920413145,2.9934404808107735e-06,0.20473476424993559,2.9112362403657085e-06,1.5329893434594101e-07,0.20858914353390526,0.0020869344538635764
reg:squarederror,12,0.9,2.9919003704650575e-06,0.20538677655387527,2.845571484135437e-06,0.20677326444251024,3.098112366374515e-06,0.20957604286152504,3.433506097301992e-06,0.21664879008108162,3.5164491278283096e-06,0.20417921229128544,3.177107889221062e-06,2.574299993618722e-07,0.20851281724605553,0.004447534349528287
reg:squarederror,12,1.0,2.9380686297162505e-06,0.20773378101811207,2.8845965283757675e-06,0.20748121999614683,2.9773160746088125e-06,0.2079696073754925,2.997267766358044e-06,0.21796881313269653,2.7633783740202794e-06,0.2053883994805108,2.9121254746158306e-06,8.373244805187162e-08,0.2093083642005918,0.0044267264901145294
reg:linear,8,0.8,4.298378020116074e-05,0.2035138472502827,4.340148256934506e-05,0.20203945949085833,4.708693350475554e-05,0.2038052572715297,4.3641685987397845e-05,0.21160009980894195,4.812701846786917e-05,0.19982798041210612,4.504818014610567e-05,2.125433910026032e-06,0.20415732884674376,0.003978982056554073
